sector, process, subprocess, phase, activity
GOVERNMENT PROCESSES, STRATEGIC PLANNING, DEFINITION OF BUSINESS MODEL ,,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ANALYSIS OF THE RESULTS ACHIEVED,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ANALYSIS OF THE HISTORICAL EVOLUTION AND WAITING FOR THE REFERENCE CONTEXT,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ANALYSIS OF THE REFERENCE REGULATORY FRAMEWORK,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, IDENTIFICATION OF THE ADDRESSES AND STRATEGIC OBJECTIVES, DEFINITION OF MARKETING POLICIES,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, IDENTIFICATION OF THE ADDRESSES AND STRATEGIC OBJECTIVES, DEFINITION OF INFRASTRUCTURAL INVESTMENTS,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, IDENTIFICATION OF THE ADDRESSES AND STRATEGIC OBJECTIVES, DEFINITION OF VARIATIONS OF THE ORGANIZATIONAL STRUCTURE,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, DEFINITION OF ECONOMIC, FINANCIAL AND FINANCIAL FORECAST,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, EVALUATION OF THE RISK OF IMPLEMENTING THE STRATEGIC PLAN ,,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ESTIMATE OF THE CAPITAL REQUIREMENT OF CAPITAL,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, DEFINITION OF DEDICATED DEVELOPMENT PROJECTIVES,
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING OF NEW ACTIVITIES, INSERTION IN NEW MARKETS, DEFINITION OF BUSINESS IDEA
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING OF NEW ACTIVITIES, INSERTION IN NEW MARKETS, PRELIMINARY PRESENTATION OF BUSINESS IDEA
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING NEW ACTIVITIES, ENTERING NEW MARKETS, CALLING THE WORKING GROUP
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING NEW ACTIVITIES, ENTERING NEW MARKETS, PRESENTING THE BUSINESS IDEA TO THE WORKING GROUP AND ASSESSING THE DEGREE OF INNOVATION OF THE PERFORMANCE OF OPERATIONS
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING NEW ACTIVITIES, ENTERING NEW MARKETS, ANALYSIS OF COHERENCE BETWEEN BUSINESS IDEA AND STRATEGIES ADOPTED
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING OF NEW ACTIVITIES, INSERTION IN NEW MARKETS, DEFINITION OF MARKETING ACTIONS
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING OF NEW ACTIVITIES, INSERTION IN NEW MARKETS, EVALUATION OF THE IMPACTS ARISING FROM THE NEW OPERATION AND DEFINITION OF THE RELEVANT ORGANIZATIONAL CHOICES TO BE ADOPTED
