settore,processo,sottoprocesso,fase,attività
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,DEFINIZIONE DEL BUSINESS MODEL,,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,ANALISI DEI RISULTATI CONSEGUITI,,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,ANALISI DELL'EVOLUZIONE STORICA ED ATTESA DEL CONTESTO DI RIFERIMENTO,,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,ANALISI DEL QUADRO NORMATIVO DI RIFERIMENTO,,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,IDENTIFICAZIONE DEGLI INDIRIZZI E DEGLI OBIETTIVI STRATEGICI,DEFINIZIONE DELLE POLITICHE DI MARKETING,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,IDENTIFICAZIONE DEGLI INDIRIZZI E DEGLI OBIETTIVI STRATEGICI,DEFINIZIONE DEGLI INVESTIMENTI INFRASTRUTTURALI,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,IDENTIFICAZIONE DEGLI INDIRIZZI E DEGLI OBIETTIVI STRATEGICI,DEFINIZIONE DELLE VARIAZIONI DELLA STRUTTURA ORGANIZZATIVA,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,DEFINIZIONE DELLE PREVISIONI ECONOMICHE,PATRIMONIALI E FINANZIARIE,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,VALUTAZIONE DEL RISCHIO DI ATTUAZIONE DEL PIANO STRATEGICO,,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,STIMA DELL'EFFETTIVO FABBISOGNO DI CAPITALE,,
PROCESSI DI GOVERNO,PIANIFICAZIONE STRATEGICA,DEFINIZIONE DELLE PROGETTUALITA ATTUATIVE DEDICATE,,
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,DEFINIZIONE DELLA BUSINESS IDEA
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,PRESENTAZIONE PRELIMINARE DELLA BUSINESS IDEA
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,CONVOCAZIONE DEL GRUPPO DI LAVORO
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,PRESENTAZIONE DELLA BUSINESS IDEA AL GRUPPO DI LAVORO E VALUTAZIONE DEL GRADO DI INNOVAZIONE DELLA PROSPETTATA OPERATIVITA'
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,ANALISI DELLA COERENZA TRA LA BUSINESS IDEA E LE STRATEGIE ADOTTATE
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,DEFINIZIONE DELLE AZIONI DI MARKETING
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,VALUTAZIONE DEGLI IMPATTI DERIVANTI DALLA NUOVA OPERATIVITA E DEFINIZIONE DELLE RELATIVE SCELTE ORGANIZZATIVE DA ADOTTARE
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,IDENTIFICAZIONE E VALUTAZIONE DEI RISCHI
PROCESSI DI GOVERNO,APPROVAZIONE DI NUOVI PRODOTTI E SERVIZI,AVVIO DI NUOVE ATTIVITA,INSERIMENTO IN NUOVI MERCATI,REDAZIONE DELLA RELAZIONE DI SINTESI E PIANIFICAZIONE DELLA PROGETTAZIONE REALIZZATIVA
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,IDENTIFICAZIONE DEI RISCHI RILEVANTI,,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MISURAZIONE/VALUTAZIONE DEI RISCHI RILEVANTI,MISURAZIONE DEI CAPITALI INTERNI ATTUALI,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MISURAZIONE/VALUTAZIONE DEI RISCHI RILEVANTI,ANALISI DEGLI OBIETTIVI DI ESPOSIZIONE AL RISCHIO,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MISURAZIONE/VALUTAZIONE DEI RISCHI RILEVANTI,STIMA DEI VALORI DI PERDITA POTENZIALE,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MISURAZIONE/VALUTAZIONE DEI RISCHI RILEVANTI,VALUTAZIONE DELLA DOTAZIONE DI CAPITALE,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MISURAZIONE/VALUTAZIONE DEI RISCHI RILEVANTI,STRESS TESTING,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MISURAZIONE/VALUTAZIONE DEI RISCHI RILEVANTI,DETERMINAZIONE DEL CAPITALE INTERNO ATTESO OTTIMALE E RELATIVO CONFRONTO CON LA DOTAZIONE PROSPETTICA DI CAPITALE,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MISURAZIONE/VALUTAZIONE DEI RISCHI RILEVANTI,CONFERMA DEGLI OBIETTIVI DI RISCHIO E DETERMINAZIONE DEI LIMITI OPERATIVI
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MONITORAGGIO DEL RISCHIO,CONTROLLO DEL RISPETTO DEI LIMITI OPERATIVI
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MITIGAZIONE DEL RISCHIO,DEFINIZIONE DELLE AZIONI DI MITIGAZIONE DEL RISCHIO
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,MITIGAZIONE DEL RISCHIO,ATTIVAZIONE AZIONI DI MITIGAZIONE IN CASO DI SUPERAMENTO DEI LIMITI OPERATIVI
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,REPORTING,,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,INTEGRAZIONE DEI RISCHI,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,RICONCILIAZIONE,CONFRONTO TRA FONDI PROPRI E CAPITALE INTERNO COMPLESSIVO
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,RICONCILIAZIONE,DEFINIZIONE DEL CAPITALE COMPLESSIVO
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,RICONCILIAZIONE,DEFINIZIONE DEL CAPITALE
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,AUTOVALUTAZIONE,,
PROCESSI DI GOVERNO,GOVERNO - GESTIONE DEL RISCHIO E VALUTAZIONE DELL'ADEGUATEZZA DEL CAPITALE,STESURA RESOCONTO ICAAP,
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,DEFINIZIONE DELL'ARCHITETTURA DEL MODELLO DI INTERNAL RATING
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,IDENTIFICAZIONE DELLE FONTI ALIMENTANTI E COSTRUZIONE DELLA BASE DATI
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,DEFINIZIONE DEL TRAINING SET
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,COSTRUZIONE DEL BASELINE RATING
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,DEFINIZIONE DEL QUESTIONARIO QUALITATIVO
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,INTEGRAZIONE DEL QUESTIONARIO QUALITATIVO CON IL BASELINE RATING
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,DEFINIZIONE DELLA MASTER SCALE DEL RATING E QUANTIFICAZIONE DELLA PD
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),SVILUPPO DEL SISTEMA DI INTERNAL RATING,DEFINIZIONE DELLE LOGICHE DI OVERIDING
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),CONVALIDA DEL SISTEMA DI INTERNAL RATING,DEFINIZIONE DEL VALIDATION SET
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),CONVALIDA DEL SISTEMA DI INTERNAL RATING,IDENTIFICAZIONE ED ESECUZIONE DEI TEST DI VALIDAZIONE QUALITATIVA
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),CONVALIDA DEL SISTEMA DI INTERNAL RATING,IDENTIFICAZIONE ED ESECUZIONE DEI TEST DI VALIDAZIONE QUANTITATIVA (BACKTESTING)
PROCESSI DI GOVERNO,SVILUPPO E CONVALIDA DEL SISTEMA DI INTERNAL RATING (CREDITO),CONVALIDA DEL SISTEMA DI INTERNAL RATING,ESECUZIONE DEI TEST DI UTILIZZO INTERNO
PROCESSI DI GOVERNO,VERIFICA DEL CORRETTO MONITORAGGIO DEL CREDITO,DEFINIZIONE DELLA METODOLOGIA DI VERIFICA,,
PROCESSI DI GOVERNO,VERIFICA DEL CORRETTO MONITORAGGIO DEL CREDITO,ESECUZIONE DELLA VERIFICA,,
PROCESSI DI GOVERNO,VERIFICA DEL CORRETTO MONITORAGGIO DEL CREDITO,CONDIVISIONE DEI RISULTATI DELLA VERIFICA CON L'UNITA ORGANIZZATIVA CHE EFFETTUA IL MONITORAGGIO DEL CREDITO,,
PROCESSI DI GOVERNO,VERIFICA DEL CORRETTO MONITORAGGIO DEL CREDITO,FOLLOW UP,,
