area,title,periodicity,controller,control_description,charttype
CIF,Behavioral volumes / organic single structure,quarterly,Galileo Galilei,"Analisi andamentale volumi della singola Filiale in termini di turnover e numero rapporti operativi in raffronto all'organico della Filiale (in particolare del CMT). Analisi andamentale volumi della singola Filiale in termini di turnover e numero rapporti operativi in raffronto all'organico della Filiale (in particolare del CMT).",gauge
CIF,Expired loans,quarterly,Galileo Galilei,"Analisi situazione complessiva conti sconfinati e/o con saldi dare senza fido, con - ove è il caso - approfondimenti su situazizoni di particolare rilievo. (Punto di partenza: verifica efficacia degli interventi condotti dal Monitoraggio Crediti Commerciali).Report mensile slides Monitoraggio e report analitico fidi scaduti nella data revisione con note CIF.  I files lavorati dal Monitoraggio si trovano nel disco del Monitoraggio / Reportistica Mensile / anno / mese.",gauge
CIF,Conti sconfinati e o con saldi dare senza fido,quarterly,Galileo Galilei,"Analisi situazione complessiva conti sconfinati e/o con saldi dare senza fido, con - ove è il caso - approfondimenti su situazizoni di particolare rilievo. (Punto di partenza: verifica efficacia degli interventi condotti dal Monitoraggio Crediti Commerciali).Estrazione effettuata da Alessandro Rossi",gauge
CIF,Endless accounts and / or balances to give without trust,quarterly,Galileo Galilei,"Matrice di transizione posizioni anomale","In attesa estrazione del Risk chiesta da Isamu Akasaki (vedasi Verbale  7 2016 Risk Management)",gauge
PHARMACIES,Mortgages with backward installments,quarterly,Galileo Galilei,"Rate arretrate su mutui Farmacie","Report fornito da Risk Monitoraggio Mutui Farmacie. Hanno promesso di inviarcelo tutti i mesi.",gauge
Credit to Businesses,Suspended Analysis,quarterly,Galileo Galilei,"Analisi situazione complessiva incassi in sospeso, con approfondimenti su situazioni di particolare rilievo. L'analisi è riconducibile a tutto il comparto del credito alle imprese (CIF, PHARMA, ecc.). (Punto di partenza: verifica efficacia degli interventi di primo e secondo livello, vedasi Audit n. 5 2016 ).Estrazione in tempo reale da KNET con messaggio IN01. vediamo anche riscontro finale a Verbale di audit 5 2016",gauge
Credit to Businesses,Unadapted individual positions,quarterly,Galileo Galilei,"Presa conoscenza situazione andamentale complessiva nonché delle singole posizioni aventi particolare rilevanza. Report mensile slides Monitoraggio",gauge
NPL,Performance organic volumes,quarterly,Albert Einstein,"Presa conoscenza situazione complessiva dell'andamento del comparto. Report mensile Risultati mese anno (da informativa mensile AD), contenente, tra l'altro: numero risorse BU e KPI (impiego puntuale, n° pratiche acquistate, incassi, ecc.).",gauge
NPL,Tax receivables,quarterly,"Andamentale volumi / organico",Albert Einstein,"Presa conoscenza situazione complessiva dell'andamento del comparto. Report mensile Risultati mese anno (da informativa mensile AD), contenente, tra l'altro: numero risorse BU e KPI (impiego medio, n° pratiche, incassi, acquisti, ecc.)",gauge
Collection on line,Performance organic volumes,quarterly,Robert Wilson,"Presa conoscenza situazione complessiva dell'andamento del comparto","Da Daily Report, confronto periodico dati di raccolta totale, conti operativi. Analisi organico di massima tramite intervista"
Management of company liquidity (Treasury),Performance of organic volumes,quarterly,Isaac Newton,"Si considera solo l'attività più direttamente riconducibile alla U.O. Tesoreria (operatività nel mercato interbancario, titoli, ecc.).Cfr. report liquidità mensile",gauge
ICT,Information Security Incidents,quarterly,Isaac Newton,"Verifica periodica dello stato degli incidenti di sicurezza informatica rilevati dal Gruppo. Gli incidenti di sicurezza informatica sono rappresentati nel Tableau De Borde trimestrale del Risk Management a seconda della loro natura.",gauge
ICT,Client server antivirus update,quarterly,Isaac Newton,"Verifica periodica dello stato di aggiornamento del software antivirus sulle infrastrutture client/server della Banca e delle Società del Gruppo.E' stato suggerito al Risk Management di monitorare gli aggiornamenti dei sistemi antivirus della Banca nell'ambito dei rischi operativi, con rendicontazione periodica trimestrale nel Tableau De Borde.Nel frattempo l'IA monitora i client/server tramite diretto accesso alla console System Center Configuration Manager.",gauge
ICT,Client server patch update,quarterly,Isaac Newton,"Verifica periodica dello stato di aggiornamento delle patch installate sulle infrastrutture client/server della Banca e delle Società del Gruppo. E' stato suggerito al Risk Management di monitorare gli aggiornamenti  dei sistemi della Banca nell'ambito dei rischi operativi, con rendicontazione periodica trimestrale nel Tableau De Borde.Nel frattempo l'IA monitora i client/server tramite diretto accesso alla console System CEnter ConfigurationManager.",gauge
Liquidity risk,"Andamentale rischio di liquidità",quarterly,Isamu Akasaki,"LCR, NSFR e Maturity Ladder Operativa. TDB trimestrale del Risk Management",gauge
Operational risks,Behavioral liquidity risk,quarterly,Isamu Akasaki,"Analisi situazione complessiva, con in presenza di situazioni particolari, verifica attività svolte dal Risk Management - confronto con colleghi IA e Responsabile IA su situazioni particolari concernenti comparti seguiti da altri colleghi, ecc.Analisi situazione complessiva, con in presenza di situazioni particolari, verifica attività svolte dal Risk Management, confronto con colleghi IA e Responsabile IA su situazioni particolari concernenti comparti seguiti da altri colleghi, ecc.",gauge
General Accounting,Analysis of Transient Accounts,quarterly,Robert Wilson,"Presa visione situazione complessiva con approfondimenti su situazioni di particolare rilievo. L'analisi è riconducibile a tutto il comparto del credito alle imprese (CIF - PHARMA, ecc.). (Punto di partenza: verifica efficacia degli interventi di primo e secondo livello, vedasi Audit n. 5 2016 ). Nota: in attesa di riscontro al verbale di audit. Sono stati richiesti alcuni approfondimenti in seguito alla prima risposta fornita da Amministrazione",gauge
Complaints,Monitoraggio esposti BI, ABF,monthly,Robert Wilson,"Monitoraggio singole posizioni con, ove è il caso contronto telefonico con Responsabile Ufficio Reclami / Compliance per valutazione situazioni di criticità. Confronto con colleghi IA e Responsabile IA su situazioni particolari concernenti comparti seguiti da altri colleghi. consultazione applicativo CLAIM in uso all'Unità Reclami - accesso alla cartella Reclami e ai verbali sui controlli svolti dalle altre Funzioni di Controllo Relazione reclami 2015 (redatta dalla Compliance)",gauge
Complaints,Semi-Annual Report of Complaints,semiannual,Robert Wilson,"Contronto telefonico con Responsabile Ufficio Reclami / Compliance per valutazione situazioni di criticità. Verifica coerenza complessiva con esposti BI ABF ecc.  Confronto con colleghi IA e Responsabile IA su situazioni particolari concernenti comparti seguiti da altri colleghi Nota: relazione semetrale reclami che da colloquio con Maria Rossi, verrà presentata al  CDA a metà/fine luglio",gauge
Complaints NPL,Six-monthly NPL Complaints Notice,semiannual,Isaac Newton,"Presa visione relazione semestrale ufficio Reclami, con approfondimenti - ove è il caso - su situazioni di particolare rilievo.",gauge
Complaints NPL,Monitoring Problems with Recovery Company Agents,quarterly,Isaac Newton,"Verifica adeguata chiusura singole situazioni",gauge
Complaints NPL,Annual NPL Disclosures,yearly,Isaac Newton,"verifica anomalie rilevanti comportamenti gestori di recupero.",gauge
ICT,Active Directory Security Maturity,quarterly,Isaac Newton,Detects the level of security maturity of the company's Active Directory, also using external reports (eg pingcastle).,gauge
